spot_name,hand,fold_freq,call_freq,raise_freq,best_action,ev
btn-open-vs-bb-defend-srp-01-hero_betting,Ad4c,0,0.99050903,0.009490967,call,4.4489484
btn-open-vs-bb-defend-srp-01-hero_betting,Ah4c,0,0.99163795,0.008362072,call,4.406045
btn-open-vs-bb-defend-srp-01-hero_betting,4h4d,0,0.5681915,0.43180847,call,0.6305081
btn-open-vs-bb-defend-srp-01-hero_betting,4s4d,0,0.6262093,0.37379068,call,0.6702867
btn-open-vs-bb-defend-srp-01-hero_betting,5d4d,0,0.9472343,0.052765697,call,2.3038867
btn-open-vs-bb-defend-srp-01-hero_betting,6d4d,0,0.8946991,0.1053009,call,0.29836223
btn-open-vs-bb-defend-srp-01-hero_betting,7d4d,0,0.75178146,0.2482185,call,0.27695706
btn-open-vs-bb-defend-srp-01-hero_betting,Qd4d,0,0.70855266,0.2914473,call,0.43323535
btn-open-vs-bb-defend-srp-01-hero_betting,Ac4d,0,0.9902191,0.009780884,call,4.4637365
btn-open-vs-bb-defend-srp-01-hero_betting,Ad4d,0,0.83828735,0.16171265,call,5.298986
btn-open-vs-bb-defend-srp-01-hero_betting,Ah4d,0,0.99005127,0.009948731,call,4.4122114
btn-open-vs-bb-defend-srp-01-hero_betting,4s4h,0,0.6195926,0.3804074,call,0.646863
btn-open-vs-bb-defend-srp-01-hero_betting,5h4h,0,0.8220978,0.17790222,call,1.7479982
btn-open-vs-bb-defend-srp-01-hero_betting,6h4h,0,0.99993896,6.10342E-05,call,0.160643
btn-open-vs-bb-defend-srp-01-hero_betting,7h4h,0,0.99993896,6.10352E-05,call,0.1403039
btn-open-vs-bb-defend-srp-01-hero_betting,Qh4h,0,0.8535919,0.14640808,call,0.17658086
btn-open-vs-bb-defend-srp-01-hero_betting,Kh4h,0,0.82055664,0.17944336,call,2.1098216
btn-open-vs-bb-defend-srp-01-hero_betting,Ac4h,0,0.9905547,0.009445334,call,4.3995085
btn-open-vs-bb-defend-srp-01-hero_betting,Ad4h,0,0.98880005,0.011199951,call,4.3888507
btn-open-vs-bb-defend-srp-01-hero_betting,Ah4h,0,0.9905545,0.009445479,call,4.349029
btn-open-vs-bb-defend-srp-01-hero_betting,5s4s,0,0.87275696,0.12724304,call,2.2914279
btn-open-vs-bb-defend-srp-01-hero_betting,6s4s,0,0.92665213,0.07334788,call,0.29553083
btn-open-vs-bb-defend-srp-01-hero_betting,7s4s,0,0.75191504,0.24808496,call,0.27726302
btn-open-vs-bb-defend-srp-01-hero_betting,Qs4s,0,0.7000885,0.2999115,call,0.41193652
btn-open-vs-bb-defend-srp-01-hero_betting,Ks4s,0,0.7819028,0.2180972,call,3.2488434
btn-open-vs-bb-defend-srp-01-hero_betting,Ac4s,0,0.9920652,0.007934812,call,4.4544816
btn-open-vs-bb-defend-srp-01-hero_betting,Ad4s,0,0.99090564,0.009094378,call,4.443968
btn-open-vs-bb-defend-srp-01-hero_betting,Ah4s,0,0.9920043,0.007995728,call,4.4016147
btn-open-vs-bb-defend-srp-01-hero_betting,5d5c,0,0.6609903,0.3390097,call,0.68440485
btn-open-vs-bb-defend-srp-01-hero_betting,5h5c,0,0.67131543,0.32868457,call,0.6690307
btn-open-vs-bb-defend-srp-01-hero_betting,5s5c,0,0.66576636,0.3342336,call,0.6945802
btn-open-vs-bb-defend-srp-01-hero_betting,6c5c,0,0.7810364,0.21896362,call,0.2676777
btn-open-vs-bb-defend-srp-01-hero_betting,7c5c,0,0.7949524,0.2050476,call,0.24146569
btn-open-vs-bb-defend-srp-01-hero_betting,8c5c,0,0.8820056,0.11799442,call,0.206697
btn-open-vs-bb-defend-srp-01-hero_betting,9c5c,0,0.8903029,0.10969711,call,0.20323603
btn-open-vs-bb-defend-srp-01-hero_betting,Tc5c,0,0.7980957,0.2019043,call,0.28014436
btn-open-vs-bb-defend-srp-01-hero_betting,Jc5c,0,0.8029145,0.19708553,call,0.29438958
btn-open-vs-bb-defend-srp-01-hero_betting,Qc5c,0,0.7376669,0.26233312,call,0.3537654
btn-open-vs-bb-defend-srp-01-hero_betting,Kc5c,0,0.836347,0.16365302,call,2.9319162
btn-open-vs-bb-defend-srp-01-hero_betting,Kh5c,0,0.82117677,0.1788232,call,2.0346944
btn-open-vs-bb-defend-srp-01-hero_betting,Ks5c,0,0.8096437,0.1903563,call,2.0547574
btn-open-vs-bb-defend-srp-01-hero_betting,Ac5c,0,0.73646545,0.26353455,call,5.1807885
btn-open-vs-bb-defend-srp-01-hero_betting,Ad5c,0,0.98744184,0.012558175,call,4.464995
btn-open-vs-bb-defend-srp-01-hero_betting,Ah5c,0,0.98861676,0.01138323,call,4.4225554
btn-open-vs-bb-defend-srp-01-hero_betting,5h5d,0,0.67152905,0.32847095,call,0.6593916
